Player ID: Player number,Player ID: User ID,Player ID: Name ID,Regions of the markers,VR Experience: I have experienced virtual reality,VR Experience: I have used the HTC Vive/Oculus Rift,Age Statement: I am ... years old,Gender: [01],Define Musical Self: Residual option (negative) or number of selected options,Define Musical Self: Music performer,Define Musical Self: Composer,Define Musical Self: Sound Designer,Define Musical Self: Audio Engineer,Define Musical Self: Mixer,Define Musical Self: Sound Artist,Define Musical Self: Producer,Define Musical Self: Producer (free text),Define Musical Self: Music Technology Researcher,Define Musical Self: Music Technology Researcher (free text),Define Musical Self: Other,Define Musical Self: Other (free text),Years expereince: [01],Computers in music: I've used them for ... years,"Describe your genre: Genre, idiom, style and/or feeling",Releases,Scales: I am able to judge whether someone is a good singer or not.,Scales: I usually know when I'm hearing a song for the first time.,Scales: I find it difficult to spot mistakes in a performance of a song even if I know the tune.,Scales: I can compare and discuss differences between two performances or versions of the same piece of music.,Scales: I have trouble recognizing a familiar song when played in a different way or by a different performer.,Scales: I have never been complimented for my talents as a musical performer.,Scales: I can tell when people sing or play out of time with the beat.,Scales: I can tell when people sing or play out of tune.,"Scales: When I sing, I have no idea whether I'm in tune or not.",Scales: When I hear a music I can usually identify its genre.,Scales: I would not consider myself a musician.,"Categoricals: I engaged in regular, daily practice of a musical instrument (including voice) for ... years.","Categoricals: At the peak of my interest, I practiced ... hours per day on my primary instrument.",Categoricals: I have had formal training in music theory for ... years.,Categoricals: I have had ... years of formal training on a musical instrument (including voice) during my lifetime.,Categoricals: I can play ... musical instruments.,Categoricals: The instrument I play best (including voice) is ... ,Making Beats: [01],Task collaboration: [01],Input method: [01],Music process: [01],Improvements: [01],PAM Items: I have known the other musician for many years.,PAM Items: The other musician and I are physically affectionate.,PAM Items: I have known the other musician for a long time.,PAM Items: I have gone to parties with the other musician.,PAM Items: The other musician often hides his/her true feelings from me.,PAM Items: Seeing the other musician is part of my weekly routine.,PAM Items: I know what the other musician �s goals are.,PAM Items: The other musician hides his/her true feelings from me.,PAM Items: The other musician has told me about his/her interests.,PAM Items: I have spent time with the other musician and his/her friends.,PAM Items: The other musician and I have been physically intimate.,PAM Items: The other musician avoids showing his/her true feelings around me.,PAM Items: The other musician and I go way back.,PAM Items: I am familiar with the other musician �s friends.,PAM Items: I see the other musician a lot.,PAM Items: The other musician and I often hold hands when we walk together.,PAM Items: Seeing the other musician is part of my daily routine.,PAM Items: The other musician has told me what his/her goals are.
WC04_01,WC04_03,WC04_02,AF01_rgs,SP03_01,SP03_02,SD02_01,PD04_01,MK01,MK01_01,MK01_02,MK01_03,MK01_04,MK01_05,MK01_06,MK01_08,MK01_08a,MK01_09,MK01_09a,MK01_07,MK01_07a,MK02_01,MK04_01,MK05_01,MK06,MS01_01,MS01_02,MS01_03,MS01_04,MS01_05,MS01_06,MS01_07,MS01_08,MS01_09,MS01_10,MS01_11,MS02_01,MS02_02,MS02_03,MS02_04,MS02_05,MS02_06,OQ01_01,OQ02_01,OQ03_01,OQ04_01,OQ05_01,PA02_01,PA02_02,PA02_03,PA02_04,PA02_05,PA02_06,PA02_07,PA02_08,PA02_09,PA02_10,PA02_11,PA02_12,PA02_13,PA02_14,PA02_15,PA02_16,PA02_17,PA02_18
1,1,allik,1,6,5,46,male,5,2,2,2,1,1,2,1,,2,"sound synthesis, live coding, music information retrieval and machine learning",1,,30,20,"noisefunk, free improv, algorave",4,6,6,2,6,2,2,6,6,2,6,1,30,6,10,10,2,guitar,"Somewhat disorienting, but pleasant at the same time","There was no specific requirement to collaborate, so I don't think there was much of that, perhaps most siginicantly when my collaborator asked me to make some noise when she was drawing a trajectory","The controllers were fine, it just took a while for me personally to get used to it.",I would love to use an interface like this.,"There could be alternative modes for trajectory drawing, like interpolation between points rather than dragging. Also the voice controlled volume should be editable, I am not sure if it is in this implementation.",1,1,1,4,3,4,4,3,4,4,1,3,1,3,4,1,4,4
2,2,lison,1,5,5,26,Female,4,2,2,1,1,1,2,1,,2,"Live coding, algorithmic composition",1,,10,3,electronic; idm,2,6,7,5,6,2,3,6,6,5,7,1,15,2,15,15,3,computer ,"Felt this was a novel way to mix a track. Interesting to try and parameterise space as part of the composition. Although this was a useful creative tool, maybe not classified as ""making music"",  rather could be considered ""engineering music"" for space. ","The medium and interface both pose an interesting means for collaboration. Through exploration and understanding of the space and the tasks, there were new ways to attempt to collaborate. During this task, attempted a few different strategies to achieve this: either through shared collaboration in building the trajectory, or remote collaboration, i.e. one person building the trajectory, another person managing the tracks on the UI. ",VR presents a novel medium. Embodiment in space is something that has previously not been utilised much in music production and this presents new possibilities for musicians and engineers. ,"This sort of interface might be useful when mixing a track specifically for spatial audio systems, i.e. if it is being rendered binaurally or using ambisonics. Would be interesting to hear it played back within a physical space. ","Finer control over the trajectory space, making it easier to modify and delete trajectories. More musical possibilities, i.e (spatial) automation of more effects to change the existing music's sonic qualities. ",2,1,2,3,2,4,4,2,4,3,1,2,2,2,3,1,4,4
1,3,dafat,1,5,5,31,Male,4,1,1,2,2,2,1,1,,2,"Digital music processing, music production, sound design, automatic mixing, semantic music, studio technology",1,,16,12,Sound Design,2,7,6,1,7,2,2,7,6,5,4,3,10,2,5,10,4,Saxophone,"I thought it was pretty cool. Nice to explore new spaces, and lots of oportunity - I feel there is some missing functionality and some time getting use to the medium.",I felt it was a really nice organic opportunity,"They are a little clunky, but that is nothing to do with the task, and more to do with avaliable tech","I think it has some excellent oportunities as a prototype. The scope for collaborative spatial audio mixing with detailed tactility of control is significant - There is however, considerable scope for future development","Greater functionality, easier menu options/less menus, more processing control, perhaps with automation curves controlled by paths. The interaction with some menus was a little clunky, and the z plane moving objects was unreliable",2,1,1,3,1,1,1,1,4,2,1,1,1,2,2,1,1,1
2,4,brnor,1,4,3,30,MALE,8,2,2,2,2,2,2,2,i PRODUCE MY OWN MUSIC,2,I have done music tech MA and doing PhD in music tech research,1,,14,7,Aggresive electronic,2,6,4,1,6,3,1,6,7,1,7,1,10,3,10,10,3,guitar,"I found it unusual, not too good or bad. especially because there were so many controls and views to manage at once.",I felt it was good to have someone else around to advise and get feedback from - encouragement or otherwise. ,"Headset felt great, I was not comfortable with the controllers when it came to using the D-pad, as my hand could never be positioned well to use them adaptively.","Once one becomes familiar with it, I imagine it would be incredibly useful for 3D sound","I would like to see the rendering improve, and stronger dynamics in volume. There was no point where I felt anything was as loud as I wanted it to be",1,1,1,1,3,3,4,3,4,4,1,3,1,2,3,1,2,3
1,5,rakim,1,5,5,36,male,1,2,1,1,1,1,1,1,,1,,1,,20,1,classical,-9,5,6,6,5,4,4,5,5,4,5,2,10,3,5,0,2,clarinet,somewhat confusing at first especially since this was a new medium to work with. Hovever it was fun experience overall,it was helpful,"fine to use, once trained on it ","not sure what you mean, maybe as a part of a collaborative music making session",ease of use and minimum training requirements,2,3,3,3,3,1,2,3,3,3,1,3,1,2,1,1,1,2
2,6,gipri,1,2,2,31,Male,6,2,2,2,1,1,2,1,,2,NIME,2,Specialised in not being specialised,20,10,electroacoustic,-9,5,6,2,6,2,3,6,5,2,6,2,10,6,3,15,5,piano,Not sure if we should call it making music. I guess I felt more like conreoling some paramiters.,"I really enjoy the collaborative aspect, much more than expected!","Really well done! Even if there is a lot to learn, I got into the thing somehow naturally.","Composition (electroacoustic music and, hopefully, DEM), audio for cinema or similar, audio for public or private transport (e.g. cars, trains, etc) ",I would try the opposite situation: reduce the overall thing to 3 basic interactive elements (thus also giving less control to the user) in order to compare to the current version and better understand what is really needed and what can be improoved ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8,toion,1,6,6,31,male,1,2,1,1,1,1,1,1,,1,,1,,20,5,electronic,2,6,4,2,6,3,1,7,7,3,5,1,26,2,10,15,3,Bass guitar,"Interesting! I'm usually not concerned with spatial audio, mono is enough for my music :-) So it's not a tool that I really need. But I can see the benefits of VR for spatial audio.","It was nice collaborating, but it wasn't clear whats the point of the system: collaborative music making or spatial audio mixing?",Generally I liked the way the controller were used. I think there are many things that can improve in terms of the menues and what goes in a menu and what goes as a virtual object.,"As said before, I'm not really into that sort of stuff. So I don't see myself using something like that for actual music making.","It depends on the goal. If it's a DAW replacement it needs many many missing features (editing, FX, automation, etc). If it should integrate with a DAW the interface can be more minimalistic and concentrate only on the spatial properties (drop the reverb send, level, mutes, etc.). If it's an insperational tool it can be simpler and more opinionated.",4,1,4,2,2,1,1,2,1,2,1,2,1,2,2,1,1,1
1,7,roack,1,4,4,31,M,3,1,1,2,1,1,2,1,,2,NIME,1,,17,15,Electronic / Experimental,2,7,7,1,7,1,1,7,7,1,7,1,8,1,9,4,3,guitar,"It felt quite natural after a period of adjustment. In terms of making music it was limiting in certain ways due to the simple nature of the interface but in terms of taking control of spatial aspects of the music, it was brilliant.",I enjoyed it more when collaborating. One person being able to take charge of the actions while another viewed from afar and gave feedback on the task. I also enjoyed the conversational aspect of the task.,"Ok, I'm not a huge fan of VR tech but I can't think of another way of authoring spatial audio content that gives such control of the movements of the sound.",Completely.,There are many small things that would make the interaction more natural but in terms of big useful controls that could be added a couple of things sprung to mind. The ability to move full trajectories once they are drawn. The ability to merge between listening positions (I suppose here I'm thinking more about using this as a tool for composing fixed medium acousmatic music rather than as a VR audio authoring tool). ,2,2,2,3,1,3,4,3,4,4,3,3,3,3,3,3,3,3
2,10,aneme,1,6,6,23,Male,1,1,1,1,1,1,1,1,,1,,2,Developer/Creative,0,0,Regga/Classical/Old school Hip Hop,-9,5,4,3,3,2,7,5,5,4,5,7,0,0,0,0,2,Piano/Ukulele,"Knowing not much about music, I feel like it was a great way of creating and editing sound. Being able to visualise your sound in a 3D space make it easier for me to understund how it work.","As I am quite shy, I felt a little bit stressed to talk but the ability to create a soundtrack with someone is amazing and the communication was working really well. The ability to control what someone else is doing and to collaborate to affect the other player objects is great and made the experience really fun and easier to navigate.",I think the control make sense and work well but it does take quite some time to get use to it.,This can be a great way for anyone who is interested in immersive technology and music. A lot of people want to create sound but don't have the ability to do so. I think this is the future for those peoples.,"For me, the main thing which I found it hard to cope with was the fact that your controller have to touch the ui button to click I would maybe add 50cm/80cm click distance. For the interactions I which you were able to add more than one object on each line you created and maybe have a little bit more control on the volume as you can't always hear what you just created.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
